# Time (seconds),Pressure,Temp
0.0078125,953.0733642578125,27.226119995117188
0.0234375,953.1002197265625,27.207000732421875
0.0390625,953.0924072265625,27.207748413085938
0.0546875,953.1026611328125,27.224281311035156
0.0703125,953.0941162109375,27.221336364746094
0.0859375,953.1141357421875,27.226119995117188
0.1015625,953.1044311523438,27.223182678222656
0.1171875,953.0951538085938,27.218772888183594
0.1328125,953.1007690429688,27.212890625
0.1484375,953.093017578125,27.203697204589844
0.1640625,953.1033325195312,27.2147216796875
0.1796875,953.1146850585938,27.21251678466797
0.1953125,953.104248046875,27.202232360839844
0.2109375,953.1027221679688,27.220230102539062
0.2265625,953.0996704101562,27.226119995117188
0.2421875,953.1074829101562,27.21436309814453
0.2578125,953.1092529296875,27.21692657470703
0.2734375,953.094482421875,27.208480834960938
0.2890625,953.0907592773438,27.223182678222656
0.3046875,953.1041259765625,27.21802520751953
0.3203125,953.0982666015625,27.19672393798828
0.3359375,953.094970703125,27.21546173095703
0.3515625,953.1046142578125,27.224281311035156
0.3671875,953.0929565429688,27.21546173095703
0.3828125,953.0963134765625,27.225013732910156
0.3984375,953.1151123046875,27.219131469726562
0.4140625,953.1097412109375,27.221336364746094
0.4296875,953.1046142578125,27.221336364746094
0.4453125,953.1183471679688,27.223182678222656
0.4609375,953.1113891601562,27.228317260742188
0.4765625,953.1136474609375,27.218399047851562
0.4921875,953.1049194335938,27.205902099609375
0.5078125,953.1083984375,27.219497680664062
0.5234375,953.1097412109375,27.217300415039062
0.5390625,953.1155395507812,27.219497680664062
0.5546875,953.122314453125,27.211410522460938
0.5703125,953.13232421875,27.218772888183594
0.5859375,953.1635131835938,27.21692657470703
0.6015625,953.1853637695312,27.218772888183594
0.6171875,953.194580078125,27.209205627441406
0.6328125,953.3108520507812,27.23015594482422
0.6484375,953.3134155273438,27.228317260742188
0.6640625,953.3228759765625,27.23089599609375
0.6796875,953.2925415039062,27.226119995117188
0.6953125,953.3027954101562,27.236412048339844
0.7109375,953.3989868164062,27.23272705078125
0.7265625,953.5533447265625,27.218772888183594
0.7421875,953.3911743164062,27.21802520751953
0.7578125,953.39404296875,27.218772888183594
0.7734375,953.48193359375,27.21692657470703
0.7890625,953.4334106445312,27.219497680664062
0.8046875,953.62841796875,27.225013732910156
0.8203125,953.4688720703125,27.225746154785156
0.8359375,953.594970703125,27.223182678222656
0.8515625,953.6245727539062,27.22759246826172
0.8671875,953.714111328125,27.227951049804688
0.8828125,953.7416381835938,27.219871520996094
0.8984375,953.760498046875,27.225013732910156
0.9140625,953.7347412109375,27.226844787597656
0.9296875,953.5006713867188,27.227951049804688
0.9453125,953.5372314453125,27.219871520996094
0.9609375,953.5407104492188,27.23566436767578
0.9765625,953.6904296875,27.237510681152344
0.9921875,953.6259765625,27.21692657470703
1.0078125,953.606689453125,27.23200225830078
1.0234375,953.7832641601562,27.23272705078125
1.0390625,953.5706176757812,27.23089599609375
1.0546875,953.6893310546875,27.239349365234375
1.0703125,953.5162963867188,27.234939575195312
1.0859375,953.6658325195312,27.237869262695312
1.1015625,953.6984252929688,27.239715576171875
1.1171875,953.7243041992188,27.23566436767578
1.1328125,953.5667114257812,27.228317260742188
1.1484375,953.6914672851562,27.238975524902344
1.1640625,953.6627197265625,27.225387573242188
1.1796875,953.682861328125,27.23566436767578
1.1953125,953.4806518554688,27.235305786132812
1.2109375,953.6156616210938,27.22979736328125
1.2265625,953.6013793945312,27.240447998046875
1.2421875,953.6264038085938,27.240821838378906
1.2578125,953.4183959960938,27.239715576171875
1.2734375,953.3783569335938,27.238616943359375
1.2890625,953.3070678710938,27.225387573242188
1.3046875,953.2550659179688,27.243759155273438
1.3203125,953.2131958007812,27.24964141845703
1.3359375,953.2036743164062,27.23200225830078
1.3515625,953.188720703125,27.240074157714844
1.3671875,953.1841430664062,27.243385314941406
1.3828125,953.1922607421875,27.243759155273438
1.3984375,953.1737060546875,27.25220489501953
1.4140625,953.1925048828125,27.242279052734375
1.4296875,953.1669921875,27.24964141845703
1.4453125,953.1845092773438,27.25330352783203
1.4609375,953.1740112304688,27.24706268310547
1.4765625,953.1663208007812,27.259185791015625
1.4921875,953.174560546875,27.2474365234375
1.5078125,953.1693725585938,27.23200225830078
1.5234375,953.1641845703125,27.245590209960938
1.5390625,953.1488037109375,27.23200225830078
1.5546875,953.1689453125,27.259559631347656
1.5703125,953.1598510742188,27.255508422851562
1.5859375,953.1534423828125,27.243385314941406
1.6015625,953.1558227539062,27.243759155273438
1.6171875,953.158203125,27.240821838378906
1.6328125,953.1537475585938,27.242652893066406
1.6484375,953.159912109375,27.239715576171875
1.6640625,953.1578979492188,27.243385314941406
1.6796875,953.1564331054688,27.23089599609375
1.6953125,953.1276245117188,27.239349365234375
1.7109375,953.156005859375,27.234939575195312
1.7265625,953.1525268554688,27.225013732910156
1.7421875,953.128173828125,27.238243103027344
1.7578125,953.14208984375,27.239349365234375
1.7734375,953.1571655273438,27.243759155273438
1.7890625,953.1593627929688,27.228317260742188
1.8046875,953.1655883789062,27.243026733398438
1.8203125,953.1820068359375,27.236412048339844
1.8359375,953.1969604492188,27.224639892578125
1.8515625,953.1837768554688,27.239349365234375
1.8671875,953.2091674804688,27.23272705078125
1.8828125,953.2461547851562,27.228317260742188
1.8984375,953.2827758789062,27.243759155273438
1.9140625,953.4348754882812,27.239349365234375
1.9296875,953.4971923828125,27.23089599609375
1.9453125,953.4838256835938,27.240447998046875
1.9609375,953.5003051757812,27.23272705078125
1.9765625,953.4702758789062,27.23162841796875
1.9921875,953.3178100585938,27.239349365234375
2.0078125,953.5682373046875,27.235305786132812
2.0234375,953.4442749023438,27.242652893066406
2.0390625,953.5859375,27.238975524902344
2.0546875,953.501953125,27.240821838378906
2.0703125,953.6085205078125,27.235305786132812
2.0859375,953.5941772460938,27.243759155273438
2.1015625,953.5926513671875,27.240074157714844
2.1171875,953.748779296875,27.24779510498047
2.1328125,953.5333251953125,27.24889373779297
2.1484375,953.6092529296875,27.24964141845703
2.1640625,953.5322265625,27.243759155273438
2.1796875,953.464111328125,27.243759155273438
2.1953125,953.4963989257812,27.256614685058594
2.2109375,953.4457397460938,27.25330352783203
2.2265625,953.4674682617188,27.259559631347656
2.2421875,953.5840454101562,27.243759155273438
2.2578125,953.5884399414062,27.259559631347656
2.2734375,953.6323852539062,27.26653289794922
2.2890625,953.5930786132812,27.255149841308594
2.3046875,953.4444580078125,27.272789001464844
2.3203125,953.5968017578125,27.272789001464844
2.3359375,953.701904296875,27.28050994873047
2.3515625,953.538330078125,27.25220489501953
2.3671875,953.5499267578125,27.261764526367188
2.3828125,953.5477905273438,27.28417205810547
2.3984375,953.5391845703125,27.28417205810547
2.4140625,953.5003662109375,27.28491973876953
2.4296875,953.565673828125,27.274627685546875
2.4453125,953.5617065429688,27.26911163330078
2.4609375,953.5211791992188,27.280868530273438
2.4765625,953.4241943359375,27.28271484375
2.4921875,953.3832397460938,27.277931213378906
2.5078125,953.4227294921875,27.281234741210938
2.5234375,953.37646484375,27.293739318847656
2.5390625,953.2927856445312,27.28601837158203
2.5546875,953.2919921875,27.280868530273438
2.5703125,953.2915649414062,27.276458740234375
2.5859375,953.2433471679688,27.292266845703125
2.6015625,953.2227783203125,27.292266845703125
2.6171875,953.2179565429688,27.30108642578125
2.6328125,953.1925659179688,27.30438995361328
2.6484375,953.1995239257812,27.296302795410156
2.6640625,953.2154541015625,27.292266845703125
2.6796875,953.2024536132812,27.306968688964844
2.6953125,953.1734008789062,27.304763793945312
2.7109375,953.21630859375,27.288955688476562
2.7265625,953.1925659179688,27.30071258544922
2.7421875,953.1912841796875,27.30071258544922
2.7578125,953.18896484375,27.28601837158203
2.7734375,953.178466796875,27.30365753173828
2.7890625,953.1719360351562,27.289329528808594
2.8046875,953.1705322265625,27.30218505859375
2.8203125,953.1633911132812,27.297042846679688
2.8359375,953.1760864257812,27.30181121826172
2.8515625,953.1873168945312,27.289329528808594
2.8671875,953.162109375,27.292266845703125
2.8828125,953.1624145507812,27.29924774169922
2.8984375,953.1637573242188,27.287124633789062
2.9140625,953.1607666015625,27.297775268554688
2.9296875,953.1546020507812,27.293365478515625
2.9453125,953.161376953125,27.296302795410156
2.9609375,953.1712036132812,27.294097900390625
2.9765625,953.1339111328125,27.30181121826172
2.9921875,953.1484375,27.30181121826172
3.0078125,953.1621704101562,27.293739318847656
3.0234375,953.1524047851562,27.293739318847656
3.0390625,953.1674194335938,27.28564453125
3.0546875,953.1485595703125,27.290428161621094
3.0703125,953.1753540039062,27.292266845703125
3.0859375,953.1707763671875,27.290054321289062
3.1015625,953.2063598632812,27.26911163330078
3.1171875,953.262939453125,27.271690368652344
3.1328125,953.272705078125,27.28491973876953
3.1484375,953.4676513671875,27.278663635253906
3.1640625,953.4037475585938,27.277557373046875
3.1796875,953.4251098632812,27.26543426513672
3.1953125,953.5350341796875,27.272789001464844
3.2109375,953.5250854492188,27.272789001464844
3.2265625,953.4874267578125,27.275352478027344
3.2421875,953.4613647460938,27.275352478027344
3.2578125,953.58740234375,27.279762268066406
3.2734375,953.5376586914062,27.26984405517578
3.2890625,953.5623168945312,27.269485473632812
3.3046875,953.4828491210938,27.28050994873047
3.3203125,953.5831298828125,27.270217895507812
3.3359375,953.5079956054688,27.26728057861328
3.3515625,953.5106811523438,27.276458740234375
3.3671875,953.5248413085938,27.276458740234375
3.3828125,953.4852905273438,27.28160858154297
3.3984375,953.5707397460938,27.28491973876953
3.4140625,953.6163940429688,27.275352478027344
3.4296875,953.5294799804688,27.275352478027344
3.4453125,953.5599975585938,27.28271484375
3.4609375,953.4351196289062,27.293739318847656
3.4765625,953.4506225585938,27.274627685546875
3.4921875,953.4845581054688,27.290428161621094
3.5078125,953.547607421875,27.290428161621094
3.5234375,953.5363159179688,27.287124633789062
3.5390625,953.4666748046875,27.291893005371094
3.5546875,953.4785766601562,27.287124633789062
3.5703125,953.4534912109375,27.293739318847656
3.5859375,953.4196166992188,27.28748321533203
3.6015625,953.4619140625,27.290428161621094
3.6171875,953.4418334960938,27.308425903320312
3.6328125,953.3463134765625,27.296676635742188
3.6484375,953.4425048828125,27.28601837158203
3.6640625,953.4408569335938,27.290428161621094
3.6796875,953.3695678710938,27.30438995361328
3.6953125,953.3357543945312,27.30512237548828
3.7109375,953.442138671875,27.30255889892578
3.7265625,953.3385620117188,27.30181121826172
3.7421875,953.2984008789062,27.310630798339844
3.7578125,953.2777709960938,27.308799743652344
3.7734375,953.2406005859375,27.30108642578125
3.7890625,953.2152709960938,27.30438995361328
3.8046875,953.1964721679688,27.312103271484375
3.8203125,953.1990356445312,27.307693481445312
3.8359375,953.2021484375,27.309532165527344
