# Time (seconds),Pressure,Temp
0.0078125,931.8878784179688,16.29314422607422
0.0234375,931.5362548828125,16.28174591064453
0.0390625,931.5435791015625,16.284698486328125
0.0546875,931.5499877929688,16.27733612060547
0.0703125,931.5462036132812,16.27991485595703
0.0859375,931.5494995117188,16.29351806640625
0.1015625,931.5416870117188,16.25859832763672
0.1171875,931.5438232421875,16.280288696289062
0.1328125,931.544677734375,16.27991485595703
0.1484375,931.5433959960938,16.273300170898438
0.1640625,931.5548706054688,16.284698486328125
0.1796875,931.53662109375,16.281021118164062
0.1953125,931.5460205078125,16.27808380126953
0.2109375,931.5390625,16.280288696289062
0.2265625,931.5458374023438,16.27733612060547
0.2421875,931.5486450195312,16.269264221191406
0.2578125,931.5393676757812,16.25859832763672
0.2734375,931.5413208007812,16.266685485839844
0.2890625,931.5421142578125,16.27991485595703
0.3046875,931.5325317382812,16.271469116210938
0.3203125,931.5394897460938,16.284698486328125
0.3359375,931.5511474609375,16.280288696289062
0.3515625,931.5433959960938,16.27477264404297
0.3671875,931.5441284179688,16.270721435546875
0.3828125,931.5425415039062,16.26007080078125
0.3984375,931.5263671875,16.265579223632812
0.4140625,931.5444946289062,16.264854431152344
0.4296875,931.5341186523438,16.26227569580078
0.4453125,931.5428466796875,16.26044464111328
0.4609375,931.5372924804688,16.28174591064453
0.4765625,931.5260620117188,16.27733612060547
0.4921875,931.5323486328125,16.28174591064453
0.5078125,931.5357666015625,16.25713348388672
0.5234375,931.5344848632812,16.267417907714844
0.5390625,931.5131225585938,16.271827697753906
0.5546875,931.5438842773438,16.25786590576172
0.5703125,931.5400390625,16.264854431152344
0.5859375,931.538330078125,16.26410675048828
0.6015625,931.5206909179688,16.272567749023438
0.6171875,931.5439453125,16.264854431152344
0.6328125,931.5431518554688,16.2777099609375
0.6484375,931.5316772460938,16.272567749023438
0.6640625,931.5239868164062,16.2769775390625
0.6796875,931.528564453125,16.269264221191406
0.6953125,931.5321044921875,16.262649536132812
0.7109375,931.534423828125,16.273300170898438
0.7265625,931.5481567382812,16.264854431152344
0.7421875,931.5341186523438,16.267059326171875
0.7578125,931.5330200195312,16.25786590576172
0.7734375,931.5266723632812,16.262649536132812
0.7890625,931.5416259765625,16.2777099609375
0.8046875,931.5333862304688,16.271095275878906
0.8203125,931.5527954101562,16.270721435546875
0.8359375,931.543701171875,16.26227569580078
0.8515625,931.5355834960938,16.254562377929688
0.8671875,931.5494384765625,16.267059326171875
0.8828125,931.54638671875,16.25897216796875
0.8984375,931.537109375,16.27550506591797
0.9140625,931.544189453125,16.256393432617188
0.9296875,931.5435180664062,16.262649536132812
0.9453125,931.5308227539062,16.26300811767578
0.9609375,931.5478515625,16.27733612060547
0.9765625,931.5364379882812,16.27733612060547
0.9921875,931.5510864257812,16.268890380859375
1.0078125,931.5313720703125,16.25786590576172
1.0234375,931.5478515625,16.26300811767578
1.0390625,931.5405883789062,16.26410675048828
1.0546875,931.5418701171875,16.27367401123047
