spi_time,coil_temp_filtered
0.0,0.263157894736842
10.0,0.2583732057416268
20.0,0.2488038277511961
30.0,0.2488038277511961
40.0,0.2727272727272727
50.0,0.2822966507177032
60.0,0.2727272727272727
70.0,0.263157894736842
80.0,0.2822966507177032
90.0,0.2918660287081339
100.0,0.3062200956937798
110.0,0.325358851674641
120.0,0.2966507177033493
130.0,0.3110047846889952
140.0,0.325358851674641
150.0,0.3062200956937798
160.0,0.3157894736842105
170.0,0.2918660287081339
180.0,0.3492822966507176
190.0,0.3157894736842105
200.0,0.2870813397129186
210.0,0.325358851674641
220.0,0.3444976076555023
230.0,0.325358851674641
240.0,0.3492822966507176
250.0,0.354066985645933
260.0,0.325358851674641
270.0,0.3349282296650717
280.0,0.3349282296650717
290.0,0.3588516746411483
300.0,0.3636363636363636
310.0,0.3492822966507176
320.0,0.3157894736842105
330.0,0.3397129186602871
340.0,0.3492822966507176
350.0,0.3397129186602871
360.0,0.3779904306220095
370.0,0.3301435406698564
380.0,0.3349282296650717
390.0,0.3684210526315788
400.0,0.3444976076555023
410.0,0.3205741626794258
420.0,0.3588516746411483
430.0,0.3588516746411483
440.0,0.3301435406698564
450.0,0.3205741626794258
460.0,0.3349282296650717
470.0,0.3397129186602871
480.0,0.3684210526315788
490.0,0.3732057416267942
500.0,0.3301435406698564
510.0,0.354066985645933
520.0,0.3349282296650717
530.0,0.3349282296650717
540.0,0.3349282296650717
550.0,0.3444976076555023
560.0,0.3157894736842105
570.0,0.325358851674641
580.0,0.3492822966507176
590.0,0.3444976076555023
600.0,0.3301435406698564
610.0,0.3062200956937798
620.0,0.3110047846889952
630.0,0.3301435406698564
640.0,0.325358851674641
650.0,0.3588516746411483
660.0,0.3397129186602871
670.0,0.3349282296650717
680.0,0.3205741626794258
690.0,0.3492822966507176
700.0,0.3444976076555023
710.0,0.3349282296650717
720.0,0.3397129186602871
730.0,0.3157894736842105
740.0,0.3301435406698564
750.0,0.3205741626794258
760.0,0.3110047846889952
770.0,0.2966507177033493
780.0,0.3110047846889952
790.0,0.3062200956937798
800.0,0.3301435406698564
810.0,0.3062200956937798
820.0,0.3157894736842105
830.0,0.354066985645933
840.0,0.325358851674641
850.0,0.3014354066985646
860.0,0.3444976076555023
870.0,0.3205741626794258
880.0,0.325358851674641
890.0,0.3014354066985646
