spi_time,die_temp_filtered,dqCommand_combined,outputSpeed_rpm
0.0,0.2842105263157894,0.42147178754950737,0.0004468275245755
10.0,0.2842105263157894,0.42147178754950737,0.0004468275245755
20.0,0.5078947368421052,0.44052502036554697,0.5924932975871313
30.0,0.5447368421052632,0.4401742686152629,0.5922698838248436
40.0,0.5447368421052632,0.4404068103242813,0.5922698838248436
50.0,0.5552631578947369,0.44052502036554697,0.5911528150134048
60.0,0.5552631578947369,0.43957711509928493,0.5931635388739945
70.0,0.5552631578947369,0.4400184280897341,0.5922698838248436
80.0,0.55,0.45010778338759705,0.6143878462913315
90.0,0.55,0.4488179879165597,0.6150580875781948
100.0,0.5552631578947369,0.4489797966280562,0.6146112600536192
110.0,0.5552631578947369,0.44896163848895154,0.6152815013404825
120.0,0.5552631578947369,0.4506782069679509,0.6150580875781948
130.0,0.55,0.4488179879165597,0.6146112600536192
140.0,0.55,0.4622662654451687,0.6360589812332439
150.0,0.55,0.46126855278132606,0.638739946380697
160.0,0.55,0.46156433096266064,0.637846291331546
170.0,0.55,0.4622360294286354,0.637846291331546
180.0,0.55,0.46118832985732106,0.6362823949955316
190.0,0.5552631578947369,0.46300700901108244,0.6371760500446827
200.0,0.5552631578947369,0.4779237922524522,0.660857908847185
210.0,0.55,0.4812485706235984,0.6586237712243074
220.0,0.5552631578947369,0.47849780238027906,0.6595174262734584
230.0,0.5552631578947369,0.47841942307579355,0.6595174262734584
240.0,0.5552631578947369,0.47849780238027906,0.6584003574620196
250.0,0.55,0.4796851754727308,0.6586237712243074
260.0,0.55,0.5010289011192032,0.6816353887399463
270.0,0.55,0.5001589476400767,0.6820822162645218
280.0,0.5552631578947369,0.49931039814501643,0.6820822162645218
290.0,0.5631578947368421,0.5001589476400767,0.6814119749776586
300.0,0.5631578947368421,0.4988178304749412,0.6811885612153709
310.0,0.5552631578947369,0.499673936780485,0.6816353887399463
320.0,0.5631578947368421,0.48762008586974337,0.6720285969615728
330.0,0.55,0.48909003759344705,0.6706881143878463
340.0,0.5631578947368421,0.48852879083607803,0.6715817694369973
350.0,0.5631578947368421,0.48762008586974337,0.6706881143878463
360.0,0.5631578947368421,0.49080744904539947,0.6693476318141197
370.0,0.5684210526315789,0.4866182618485271,0.6706881143878463
380.0,0.5631578947368421,0.4766784534928272,0.6597408400357462
390.0,0.5684210526315789,0.4796851754727308,0.6581769436997319
400.0,0.5631578947368421,0.4766784534928272,0.6592940125111706
410.0,0.5631578947368421,0.47750723061973294,0.6601876675603217
420.0,0.5631578947368421,0.4779237922524522,0.6588471849865951
430.0,0.5736842105263158,0.4770532437306427,0.6595174262734584
440.0,0.5631578947368421,0.4668859297415201,0.6485701519213583
450.0,0.5684210526315789,0.4694350031311117,0.6490169794459338
460.0,0.5684210526315789,0.4694867834438118,0.6490169794459338
470.0,0.5684210526315789,0.46877396677851285,0.647899910634495
480.0,0.5736842105263158,0.4707534219502101,0.647006255585344
490.0,0.5684210526315789,0.47108741874676463,0.6476764968722073
500.0,0.5684210526315789,0.462588160044762,0.6380697050938338
510.0,0.5684210526315789,0.46300700901108244,0.6349419124218051
520.0,0.5684210526315789,0.4612155367906731,0.6367292225201072
530.0,0.5736842105263158,0.4632562774120892,0.6371760500446827
540.0,0.5631578947368421,0.460153668701605,0.6382931188561215
550.0,0.5684210526315789,0.46156433096266064,0.6362823949955316
560.0,0.5631578947368421,0.4549457181817293,0.6268990169794458
570.0,0.5684210526315789,0.45472755872390513,0.6264521894548704
580.0,0.5684210526315789,0.4537880295514872,0.6264521894548704
590.0,0.5631578947368421,0.4553611550697382,0.6248882931188561
600.0,0.5631578947368421,0.4532718074438157,0.6271224307417337
610.0,0.5631578947368421,0.45431329255176406,0.6271224307417337
620.0,0.5631578947368421,0.44909902930980644,0.6148346738159071
630.0,0.5631578947368421,0.4498190740936694,0.6141644325290437
640.0,0.5684210526315789,0.44770830947201523,0.6152815013404825
650.0,0.5552631578947369,0.44896163848895154,0.6143878462913315
660.0,0.5552631578947369,0.448260251268599,0.6150580875781948
670.0,0.5631578947368421,0.449547952262903,0.6141644325290437
680.0,0.5631578947368421,0.44716216252680874,0.6081322609472744
690.0,0.5631578947368421,0.4459523530664641,0.6070151921358355
700.0,0.5684210526315789,0.4459523530664641,0.6079088471849865
710.0,0.5684210526315789,0.44674942579614596,0.6081322609472744
720.0,0.5631578947368421,0.4459523530664641,0.6083556747095621
730.0,0.5631578947368421,0.4453945705419885,0.6083556747095621
740.0,0.5631578947368421,0.4430807997214655,0.6007596067917783
750.0,0.5631578947368421,0.44240350137127676,0.6007596067917783
760.0,0.5631578947368421,0.4419285899884335,0.6016532618409294
770.0,0.5631578947368421,0.44279107890260117,0.6023235031277926
780.0,0.5631578947368421,0.44259517667276926,0.6021000893655049
790.0,0.5552631578947369,0.44164131512950766,0.6023235031277926
800.0,0.5631578947368421,0.4394884563119456,0.5929401251117068
810.0,0.5684210526315789,0.4394884563119456,0.5949508489722967
820.0,0.5631578947368421,0.4400184280897341,0.5947274352100089
830.0,0.5631578947368421,0.440241257654225,0.5947274352100089
840.0,0.5631578947368421,0.44101344430801404,0.5931635388739945
850.0,0.5552631578947369,0.44030175178260555,0.5945040214477211
860.0,0.5552631578947369,0.4379414124179707,0.5875781948168006
870.0,0.5631578947368421,0.43762367370214694,0.5871313672922251
880.0,0.5631578947368421,0.438520949183081,0.5871313672922251
890.0,0.5631578947368421,0.4384506926010108,0.5871313672922251
900.0,0.5631578947368421,0.43762367370214694,0.5875781948168006
910.0,0.5631578947368421,0.43745747291769477,0.5880250223413762
920.0,0.5552631578947369,0.43667962887047024,0.5862377122430741
930.0,0.5631578947368421,0.436819834208791,0.5857908847184986
940.0,0.5684210526315789,0.4366224961175627,0.5862377122430741
950.0,0.5631578947368421,0.43667962887047024,0.5848972296693475
